,Date,Open,High,Low,Close,DaiVolume,Market Cap,DaiMean
145,1-Dec-20,1.01,1.01,1,1,169476642,1062264757,1.005
146,30-Nov-20,1,1.01,1,1.01,163131514,1053445327,1.005
147,29-Nov-20,1,1.01,1,1,80972759,1033591986,1
148,28-Nov-20,1,1.01,1,1,82838266,1019334637,1
149,27-Nov-20,1,1.01,1,1,92986944,1017527956,1
150,26-Nov-20,1,1.02,1,1,338992663,1016911192,1
151,25-Nov-20,1,1,0.9999,1,135982585,1046331678,1
152,24-Nov-20,1,1,0.9995,1,136743554,1041253536,1
153,23-Nov-20,1,1,0.9997,1,133239146,1022781582,1
154,22-Nov-20,1,1,1,1,131881074,1020220372,1
155,21-Nov-20,1,1,1,1,124921915,1021019638,1
156,20-Nov-20,1,1,1,1,110258101,1007891103,1
157,19-Nov-20,0.9996,1,0.9978,1,89486359,992802143,0.9998
158,18-Nov-20,1,1,0.9995,0.9996,115887801,998156216,0.9998
159,17-Nov-20,1,1,1,1,177676838,1014375753,1
160,16-Nov-20,1,1,0.9999,1,88374297,1013541409,1
161,15-Nov-20,1,1,1,1,72762520,1013497083,1
162,14-Nov-20,1,1.01,1,1,73240415,1003957131,1
163,13-Nov-20,1.01,1.01,1,1,79377942,1003794451,1.005
164,12-Nov-20,1.01,1.01,1,1.01,84059158,998108548,1.01
165,11-Nov-20,1.01,1.01,1.01,1.01,79326332,1000876605,1.01
166,10-Nov-20,1.01,1.01,1.01,1.01,75109382,971107167,1.01
167,9-Nov-20,1.01,1.01,1.01,1.01,89669172,964357839,1.01
168,8-Nov-20,1.01,1.01,1.01,1.01,78982780,960944301,1.01
169,7-Nov-20,1.01,1.01,1.01,1.01,106235212,961488266,1.01
170,6-Nov-20,1.01,1.01,1.01,1.01,104839157,957212051,1.01
171,5-Nov-20,1.01,1.01,1.01,1.01,94650286,952062351,1.01
172,4-Nov-20,1.01,1.01,1.01,1.01,89361046,951872847,1.01
173,3-Nov-20,0.9987,1.01,0.9982,1.01,89999269,959155841,1.00435
174,2-Nov-20,0.9992,1.01,0.994,0.9987,83781269,942364875,0.99895
175,1-Nov-20,1.01,1.01,0.9991,0.9992,76732378,937185381,1.0046
176,31-Oct-20,1.01,1.01,0.9943,1.01,69951262,933281992,1.01
177,30-Oct-20,1.01,1.02,0.9916,1.01,82530184,931795304,1.01
178,29-Oct-20,1.01,1.02,0.9953,1.01,1224863056,948286230,1.01
179,28-Oct-20,1.01,1.01,1,1.01,115770390,949333650,1.01
180,27-Oct-20,1.01,1.01,1,1.01,121079268,948986067,1.01
181,26-Oct-20,0.9969,1.01,0.9953,1.01,129614564,940160489,1.00345
182,25-Oct-20,0.9995,1.01,0.9958,0.9969,73786723,934636883,0.9982
183,24-Oct-20,1.01,1.01,0.9963,0.9995,69014228,937604533,1.00475
184,23-Oct-20,1.01,1.01,1,1.01,67554067,943642520,1.01
185,22-Oct-20,1.01,1.01,1.01,1.01,178075477,915384840,1.01
186,21-Oct-20,1.01,1.01,1.01,1.01,114693279,915258609,1.01
187,20-Oct-20,1.01,1.01,1,1.01,99477125,914257039,1.01
188,19-Oct-20,1.01,1.01,1,1.01,73438772,913956909,1.01
189,18-Oct-20,1.01,1.01,1.01,1.01,61431310,910040822,1.01
190,17-Oct-20,1.01,1.01,1,1.01,63280637,911774883,1.01
191,16-Oct-20,1.01,1.01,1.01,1.01,82256212,914206178,1.01
192,15-Oct-20,1.01,1.01,1.01,1.01,101658285,920026314,1.01
193,14-Oct-20,1.01,1.01,1.01,1.01,102229197,921700618,1.01
194,13-Oct-20,1.01,1.01,1.01,1.01,83540390,937384159,1.01
195,12-Oct-20,1.01,1.02,1,1.01,98771664,919145117,1.01
196,11-Oct-20,1.01,1.01,1.01,1.01,73854751,906395871,1.01
197,10-Oct-20,1.01,1.01,1.01,1.01,135032919,901931237,1.01
198,9-Oct-20,1.01,1.01,1.01,1.01,132793903,883440623,1.01
199,8-Oct-20,1.01,1.01,1.01,1.01,81273472,875605308,1.01
200,7-Oct-20,1.01,1.01,1.01,1.01,80386530,875107923,1.01
201,6-Oct-20,1.01,1.01,1.01,1.01,80649639,872707680,1.01
202,5-Oct-20,1.01,1.02,1.01,1.01,72822020,870179826,1.01
203,4-Oct-20,1.01,1.02,1.01,1.01,75286904,874998511,1.01
204,3-Oct-20,1.01,1.01,1.01,1.01,71566137,873752756,1.01
205,2-Oct-20,1.01,1.01,1.01,1.01,115434155,884698342,1.01
206,1-Oct-20,1.01,1.01,1.01,1.01,111959219,898020844,1.01
207,30-Sep-20,1.01,1.01,1.01,1.01,94410187,909236181,1.01
208,29-Sep-20,1.01,1.01,1.01,1.01,113729182,914104773,1.01
209,28-Sep-20,1.01,1.01,1.01,1.01,121977428,922311839,1.01
210,27-Sep-20,1.01,1.01,1.01,1.01,97633028,929951744,1.01
211,26-Sep-20,1.01,1.01,1.01,1.01,140661842,912614309,1.01
212,25-Sep-20,1.01,1.01,1.01,1.01,124186204,900800312,1.01
213,24-Sep-20,1.01,1.01,1.01,1.01,157284607,902580300,1.01
214,23-Sep-20,1.01,1.01,1.01,1.01,195467535,865668155,1.01
215,22-Sep-20,1.01,1.02,1.01,1.01,67920167,851830297,1.01
216,21-Sep-20,1.01,1.02,1.01,1.01,97635284,839567935,1.01
217,20-Sep-20,1.02,1.02,1.01,1.01,80947513,810841693,1.015
