,Date,Open,High,Low,Close,WbtcVolume,Market cap,WbtcMean
284,15-Jul-20,9212.91,9281.69,9124.68,9258.53,101278,105690949,9235.72
285,14-Jul-20,9197.34,9281.86,9134.96,9217.74,103247,104534470,9207.54
286,13-Jul-20,9303.87,9383.12,9149.23,9197.34,91996,104303055,9250.605
287,12-Jul-20,9234.14,9380.96,9185.79,9303.87,92810,54132773,9269.005
288,11-Jul-20,9266.16,9302.39,9168.45,9235.23,120241,53733427,9250.695
289,10-Jul-20,9281.38,9281.38,9114.26,9265.4,222353,53908975,9273.39
290,9-Jul-20,9441.19,9477.34,9164.73,9298.73,232061,54102919,9369.96
291,8-Jul-20,9313.14,9479.91,9264.91,9437.68,379252,54911359,9375.41
292,7-Jul-20,9399.83,9466.69,9151.47,9313.14,206405,54186730,9356.485
293,6-Jul-20,9104.21,9464.82,9043.59,9464.82,432595,55069277,9284.515
294,5-Jul-20,9170.62,9192.98,8988.61,9104.77,420898,52974354,9137.695
295,4-Jul-20,9061.55,9256.41,9050.45,9176.49,199324,53391643,9119.02
296,3-Jul-20,9239.32,9249.37,9027.89,9065.43,257558,52745508,9152.375
297,2-Jul-20,9258.35,9335.91,9055.1,9233.62,323246,53724087,9245.985
298,1-Jul-20,9185.11,9349.18,9127.04,9254.07,426724,53843043,9219.59
299,30-Jun-20,9176.71,9295.64,9098.57,9186.48,578703,53449787,9181.595
300,29-Jun-20,9137.69,9270.99,9031.71,9181.16,446392,53418821,9159.425
301,28-Jun-20,9041.95,9260.82,8966.67,9145.21,521114,53209645,9093.58
302,27-Jun-20,9171.71,9277.12,8928.12,9041.95,1079061,52608866,9106.83
303,26-Jun-20,9295.21,9342.2,9134.39,9172.9,651976,53370774,9234.055
304,25-Jun-20,9352.95,9377.52,9117.64,9297.42,410844,54095292,9325.185
305,24-Jun-20,9731.43,9822.54,9274.34,9345.92,790926,54377474,9538.675
306,23-Jun-20,9913.34,9947.23,9693.72,9729.22,1320394,56607643,9821.28
307,22-Jun-20,9413.08,10184.36,9348.42,9911.51,5444746,12858858,9662.295
308,21-Jun-20,9361.84,9542.1,9285.95,9411.46,1964660,12210107,9386.65
309,20-Jun-20,9230.98,9448.61,9222.8,9359.25,259634,12142377,9295.115
310,19-Jun-20,9431,9469.51,9214.99,9236.41,965015,11983006,9333.705
311,18-Jun-20,9433.8,9472.92,9362.77,9435.62,274831,12241455,9434.71
312,17-Jun-20,9515.66,9613.86,9338.9,9436.56,256431,12242676,9476.11
313,16-Jun-20,9330.99,9600.35,9265.05,9510.59,229850,12338713,9420.79
314,15-Jun-20,9397.12,9460.64,8964.6,9331.73,349430,12106672,9364.425
315,14-Jun-20,9479.75,9528.67,9351.38,9397.12,124889,12191501,9438.435
316,13-Jun-20,9483.27,9543.19,9416.01,9478.53,184324,12297124,9480.9
317,12-Jun-20,9328.55,9569.54,9248.9,9482.57,136155,12302359,9405.56
